店铺名,ItemID,货号,尺码,价格
hypex-official-store,286770148888,IB8958-001,3.5 Men/5 Women,283.0
hypex-official-store,286770148888,IB8958-001,4 Men/5.5 Women,298.0
hypex-official-store,286770148888,IB8958-001,4.5 Men/6 Women,284.0
hypex-official-store,286770148888,IB8958-001,5 Men/6.5 Women,307.0
hypex-official-store,286770148888,IB8958-001,5.5 Men/7 Women,323.0
hypex-official-store,286770148888,IB8958-001,6 Men/7.5 Women,367.0
hypex-official-store,286770148888,IB8958-001,6.5 Men/8 Women,367.0
hypex-official-store,286770148888,IB8958-001,7 Men/8.5 Women,352.0
hypex-official-store,286770148888,IB8958-001,7.5 Men/9 Women,321.0
hypex-official-store,286770148888,IB8958-001,8 Men/9.5 Women,302.0
hypex-official-store,286770148888,IB8958-001,8.5 Men/10 Women,296.0
hypex-official-store,286770148888,IB8958-001,9 Men/10.5 Women,288.0
hypex-official-store,286770148888,IB8958-001,9.5 Men/11 Women,298.0
hypex-official-store,286770148888,IB8958-001,10 Men/11.5 Women,306.0
hypex-official-store,286770148888,IB8958-001,10.5 Men/12 Women,304.0
hypex-official-store,286770148888,IB8958-001,11 Men/12.5 Women,329.0
hypex-official-store,286770148888,IB8958-001,11.5 Men/13 Women,342.0
hypex-official-store,286770148888,IB8958-001,12 Men/13.5 Women,336.0
hypex-official-store,286770148888,IB8958-001,13 Men/14.5 Women,319.0
hypex-official-store,286770148888,IB8958-001,14 Men/15.5 Women,283.0
hypex-official-store,286783519084,IB8958-001,7 Men/8.5 Women,274.8
hypex-official-store,286783519084,IB8958-001,7.5 Men/9 Women,259.2
hypex-official-store,286783519084,IB8958-001,8 Men/9.5 Women,254.4
hypex-official-store,286783519084,IB8958-001,9 Men/10.5 Women,255.6
brother_tao,177345049206,IB8958-001,3.5 Men/5 Women,282.0
brother_tao,177345049206,IB8958-001,4 Men/5.5 Women,297.0
brother_tao,177345049206,IB8958-001,4.5 Men/6 Women,283.0
brother_tao,177345049206,IB8958-001,5 Men/6.5 Women,306.0
brother_tao,177345049206,IB8958-001,5.5 Men/7 Women,321.0
brother_tao,177345049206,IB8958-001,6 Men/7.5 Women,365.0
brother_tao,177345049206,IB8958-001,6.5 Men/8 Women,365.0
brother_tao,177345049206,IB8958-001,7 Men/8.5 Women,350.0
brother_tao,177345049206,IB8958-001,7.5 Men/9 Women,319.0
brother_tao,177345049206,IB8958-001,8 Men/9.5 Women,301.0
brother_tao,177345049206,IB8958-001,8.5 Men/10 Women,295.0
brother_tao,177345049206,IB8958-001,9 Men/10.5 Women,287.0
brother_tao,177345049206,IB8958-001,9.5 Men/11 Women,297.0
brother_tao,177345049206,IB8958-001,10 Men/11.5 Women,304.0
brother_tao,177345049206,IB8958-001,10.5 Men/12 Women,302.0
brother_tao,177345049206,IB8958-001,11 Men/12.5 Women,327.0
brother_tao,177345049206,IB8958-001,11.5 Men/13 Women,340.0
brother_tao,177345049206,IB8958-001,12 Men/13.5 Women,335.0
brother_tao,177345049206,IB8958-001,13 Men/14.5 Women,318.0
brother_tao,177345049206,IB8958-001,14 Men/15.5 Women,282.0
mxcltd,365796359099,IB8958-001,8.5 Men,257.0
mxcltd,365796359099,IB8958-001,10.5 Men,276.0
mxcltd,365796359099,IB8958-001,7.5 Men,289.0
mxcltd,365796359099,IB8958-001,9 Men,251.0
mxcltd,365796359099,IB8958-001,11 Men,284.0
mxcltd,365796359099,IB8958-001,10 Men,265.0
mxcltd,365796359099,IB8958-001,11.5 Men,294.0
mxcltd,365796359099,IB8958-001,12 Men,291.0
mxcltd,365796359099,IB8958-001,13 Men,276.0
mxcltd,365796359099,IB8958-001,3.5 Men,246.0
mxcltd,365796359099,IB8958-001,4 Men,259.0
mxcltd,365796359099,IB8958-001,5.5 Men,279.0
mxcltd,365796359099,IB8958-001,5 Men,267.0
mxcltd,365796359099,IB8958-001,6.5 Men,316.0
mxcltd,365796359099,IB8958-001,6 Men,315.0
mxcltd,365796359099,IB8958-001,7 Men,303.0
mxcltd,365796359099,IB8958-001,8 Men,262.0
mxcltd,365796359099,IB8958-001,9.5 Men,260.0
mxcltd,365796359099,IB8958-001,4.5 Men,248.0
mxcltd,365796359099,IB8958-001,14 Men,243.0
brother_tao,177367157039,IB8958-001,7.5 Men/9 Women,323.7
brother_tao,177367157039,IB8958-001,8 Men/9.5 Women,275.6
brother_tao,177367157039,IB8958-001,8.5 Men/10 Women,276.9
brother_tao,177367157039,IB8958-001,9 Men/10.5 Women,276.9
mxcltd2,317167665953,IB8958-001,8.5 Men,248.0
mxcltd2,317167665953,IB8958-001,10.5 Men,267.0
mxcltd2,317167665953,IB8958-001,7.5 Men,279.0
